id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_kawin,jumlah_penduduk,satuan,tahun
656,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KAWIN,1209603,JIWA,2019
657,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BELUM KAWIN,1597265,JIWA,2019
658,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CERAI HIDUP,48532,JIWA,2019
659,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CERAI MATI,109634,JIWA,2019
660,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KAWIN,1806248,JIWA,2019
661,32,JAWA BARAT,3205,KABUPATEN GARUT,BELUM KAWIN,981449,JIWA,2019
662,32,JAWA BARAT,3205,KABUPATEN GARUT,CERAI HIDUP,35641,JIWA,2019
663,32,JAWA BARAT,3205,KABUPATEN GARUT,CERAI MATI,82535,JIWA,2019
664,32,JAWA BARAT,3205,KABUPATEN GARUT,KAWIN,1184793,JIWA,2019
665,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BELUM KAWIN,715087,JIWA,2019
666,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CERAI HIDUP,38856,JIWA,2019
667,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CERAI MATI,80047,JIWA,2019
668,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KAWIN,962506,JIWA,2019
